Period,Brand_Sales_Value,V1_Sales_Value,V2_Sales_Value,V3_Sales_Value,Brand_Sales_Volume,V1_Sales_Volume,V2_Sales_Volume,V3_Sales_Volume,Avg_Price_per_SU_Brand,Avg_Price_per_SU_V1,Sales_Avg_Price_per_SU_V2,Sales_Avg_Price_per_Su_v3,Avg_Price_per_USD_Brand,Avg_Price_per_USD_V1,Avg_Price_per_USD_V2,Avg_Price_per_USD_V3,Brand_Distribution_WTD,V1_Distribution_WTD,V2_Distribution_WTD,V3_Distribution_WTD,Brand_Distribution_NUMD,V1_Distribution_NUMD,V2_Distribution_NUMD,V3_Distribution_NUMD,Brand_Shipment_SSU,V1_Shipment_SSU,V2_Shipment_SSU,V3_Shipment_SSU,Brand_SEM_Yahoo_Imp_Digital,Brand_SEM_Yahoo_Clicks_Digital,Brand_SEM_Yahoo_USM_Digital_AOR,Brand_Social_FB_Likes_Digital,Brand_Social_FB_PTAT_Digital,Brand_Birth_Rate_No_of_Births_CPA,Brand_Yt_Channel_views_P&G/Digital,Brand_CRM_Pampers_Baby_Club_Elements_P&G,V1_TV_Total_GRP_AOR,V1_TV_ISP_GRP_AOR,V1_TV_Total_Spends_AOR,V1_TV_ISP_Spends_AOR,V1_iMedia_Total_Imp_Digital,V1_imedia_Total_Clicks_Digital,V1_iMedia_Parenting_Imp_Digital,V1_iMedia_Parenting_Clicks_Digital,V1_iMedia_BBK_Imp_Digital,V1_iMedia_BBK_Clicks_Digital,V1_iMedia_Total_Spends_Digital AOR,V1_iMedia_Parenting_Spends_Digital AOR,V1_iMedia_BBK_Spends_Digital AOR
2011-07-01,28518.3,12706.5,12196.9,3614.4,85935.6,36127.4,40971.6,8835.6,331.85664613966736,351.71365777775316,297.69157172285196,409.0723889718864,43.141363998156756,45.72277551110791,38.699904323970756,53.17941056634524,100,100,99,96,48,46,46,40,111110.765,43869.0272,59022.526600000005,8219.2112,66442189.0,24418.0,5.037170743028068,74109.0,172.13333333333333,8128.0,8.360343674435354,40.458477843245966,200.0,200.0,9.178439665256906,9.178439665256906,2108173.0,2549.0,2108173.0,2549.0,2108173.0,2549.0,14.18238547723727,14.18238547723727,14.18238547723727
2011-08-01,31712.5,14190.5,13250.5,4271.6,95135.2,40373.7,44402.1,10359.4,333.34139203996,351.47880922481716,298.42057019825637,412.3404830395583,43.3343809651948,45.69224519922623,38.79467412577333,53.60426279514258,100,99,99,96,48,46,46,40,98568.47400000002,48970.12800000001,40447.528600000005,9150.817400000002,74218274.0,23888.0,4.619847603821508,75408.0,76277.06451612903,8531.0,8.360343674435354,22.657005453771873,100.0,100.0,3.856487254309625,3.856487254309625,507787.0,357.0,507787.0,357.0,507787.0,357.0,0.7032587839952367,0.7032587839952367,0.7032587839952367
2011-09-01,28436.8,12422.5,11946.7,4067.6,85814.0,36034.5,40029.2,9750.3,331.3771645652225,344.73906950283754,298.4496317688088,417.1769073772089,43.07903139347892,44.81607903536888,38.79845212994514,54.232997959037164,100,99,99,95,48,46,46,39,122461.0034,54010.9639,58820.36019999999,9629.6793,62093623.0,22417.0,4.6243859671742245,77106.0,77099.53333333334,8099.0,8.360343674435354,22.240559043849355,100.0,100.0,5.321952410947282,5.321952410947282,3076266.0,2077.0,3076266.0,2077.0,3076266.0,2077.0,7.032587839952366,7.032587839952366,7.032587839952366
2011-10-01,29048.8,12652.5,12690.9,3705.5,88047.7,36697.8,42431.3,8918.6,329.9211677306733,344.7754361296862,299.092886619076,415.48000807301594,42.889751804987526,44.82080669685921,38.88207526047988,54.01240104949208,99,99,99,94,48,46,46,38,134933.0212,60733.50579999999,63417.0106,10782.5048,55363384.0,18600.0,3.597168680135635,77227.0,77205.25806451614,8352.0,8.360343674435354,26.985211639870556,91.0,91.0,3.856487254309625,3.856487254309625,3250974.0,2130.0,3250974.0,2130.0,3250974.0,2130.0,10.31446216526347,10.31446216526347,10.31446216526347
2011-11-01,30463.54,13737.66,12723.97,4001.9,92028.93,39742.8,42395.0,9891.13,331.0213429624793,345.6641202934871,300.12902464913316,404.59482384722475,43.03277458512231,44.936335638153324,39.01677320438731,52.59732710013922,100,100,99,93,48,46,45,39,122066.2618,52525.5475,60432.85129999999,9107.863,58743642.0,21662.0,4.457098283931358,77366.0,77464.53333333334,7816.0,8.360343674435354,41.31918489962739,686.0,686.0,47.16164723425593,47.16164723425593,867203.0,1743.0,867203.0,1743.0,867203.0,1743.0,5.127854449882567,5.127854449882567,5.127854449882567
2011-12-01,35746.67,16397.82,14855.71,4493.14,107377.05,47007.08,49169.97,11200.01,332.90791654268764,348.8372389861272,302.12973487679574,401.1728560956642,43.27802915054939,45.348841068196535,39.27686553398345,52.152471292436346,100,100,99,90,48,46,46,39,170053.41009999998,68665.3748,86555.48009999999,14832.5552,61921696.0,26724.0,5.05737419579428,78400.0,76787.25,7413.0,8.360343674435354,29.599321824112636,432.0,432.0,36.328579141545944,36.328579141545944,4182754.0,4797.0,4182754.0,4797.0,4182754.0,4797.0,19.870435993294944,19.870435993294944,19.870435993294944
2012-01-01,36125.75,16906.6,14627.51,4591.64,105278.22,47509.5,46691.89,11076.82,343.1455243069269,355.857249602711,313.27731646759213,414.5269129587734,44.6089181599005,46.26144244835243,40.72605114078698,53.88849868464054,100,99,99,95,47,46,46,39,95095.78420000001,46851.7328,39958.5075,8285.5439,47295074.0,17402.0,4.059437088227331,80661.0,4276.548387096775,7582.0,8.360343674435354,18.14495171542399,346.6,346.6,26.08573613914206,26.08573613914206,4094447.0,5100.0,4094447.0,5100.0,4094447.0,5100.0,19.870435993294944,19.870435993294944,19.870435993294944
2012-02-01,34421.38,15525.63,14466.9,4428.79,99072.59,43680.22,45315.77,10076.51,347.4359557976631,355.43845704073834,319.24647865411976,439.51626108642773,45.16667425369621,46.20699941529599,41.50204222503557,57.137113941235604,100,100,99,96,47,46,46,39,105309.55369999999,53490.326199999996,42741.5032,9077.7243,43052325.0,20386.0,4.488196387359627,82749.0,197.7,7100.0,8.360343674435354,20.434840963886487,306.0,306.0,14.717567584939122,14.717567584939122,1452344.0,1632.0,1452344.0,1632.0,1452344.0,1632.0,5.768836256117887,5.768836256117887,5.768836256117887
2012-03-01,38271.47,16724.76,16834.18,4712.53,109044.77,46952.8,51605.77,10486.21,350.9702482750892,356.2036768840196,326.207321390612,449.4025963622701,45.6261322757616,46.30647799492255,42.40695178077956,58.42233752709512,100,100,99,96,47,47,46,39,137645.5904,60398.514599999995,66045.5183,11201.557499999999,47420881.0,31252.0,8.052938977063214,85890.0,171.36666666666667,7678.0,8.360343674435354,40.39269220355591,503.0,503.0,33.06171279453922,33.06171279453922,1242719.0,7325.0,1242719.0,7325.0,1242719.0,7325.0,7.62841044928692,7.62841044928692,7.62841044928692
2012-04-01,38711.49,19764.63,14809.28,4137.57,114207.34,60557.1,44514.91,9135.33,338.95798641313246,326.38006113238583,332.6813420492145,452.9195989635842,44.06453823370722,42.42940794721016,43.24857446639788,58.87954786526595,100,100,99,96,47,46,46,39,140644.3039,72711.013,59742.1514,8191.139499999999,34139015.0,24699.0,6.870811361380073,87809.0,134.86666666666667,7071.0,8.360343674435354,63.851587782519566,560.0,560.0,35.788256996310636,35.788256996310636,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
